马尔代夫的第一大支柱产业是什么？	旅游业
《难忘今宵》是为第几届春晚创作的？	二
《资治通鉴》是一部什么体裁的史学著作？	编年体
世界第二高峰的海拔是？	8611米
单片机的最大优点是？	体积小
Python的官方解释器采用什么语言编写？	C语言
百度公司的两位创始人是？	李彦宏、徐勇
江户川柯南的真实身份是？	工藤新一
电视剧《还珠格格》中五阿哥的扮演者是？	苏有朋
约翰·福布斯·纳什的国籍是？	美国
开创了人类历史上通过数学算法计算圆周率近似值先河的数学家是？	阿基米德
蓝牙的技术标准是由哪个组织制定的？	蓝牙技术联盟
世界上第一只手表产生于哪一年？	1868年
世界时是以什么的自转为基准得到的时间尺度？	地球
波长位于微波和可见光之间的电磁波是？	红外线
中国在奥运会游泳比赛上获得的首枚金牌是由谁夺得的	庄泳
“白日依山尽，黄河入海流”是诗人王之涣在什么楼上看到的景色	鹳雀楼
云冈石窟位于我国哪个省	山西省
海参崴是哪个欧洲国家的港口城市	俄罗斯
外号“小胖老师”，创作了《征服》《梦醒了》《旋木》的是哪位台湾著名制作人	袁惟仁
马头琴是我国哪个少数民族的乐器	蒙古族
陶渊明《饮酒》中的诗句“采菊东篱下”的下一句是什么	悠然见南山
“卡哇伊”是哪个形容词的日语发音	可爱
韩国的首都是哪座城市	首尔
中国的第三大岛屿是哪个岛	舟山岛
书画作品中的“四君子”是指哪四种植物	梅、兰、竹、菊
原子弹爆炸升腾的烟雾被我们俗称为什么云	蘑菇云
中国是哪一年加入世界贸易组织WTO的	2002年
金庸小说《天龙八部》中，木婉清的母亲是谁	秦红棉
棕色人种生活在哪块大陆	澳洲大陆
甲午战争后，清政府签订了哪个不平等条约	马关条约
我国著名的“京九铁路”中的“九”指的是香港的哪一站	九龙
北京大学的地址在哪里	颐和园路5号
“夫子庙”“玄武湖”“中山陵”是哪个城市的著名景点	南京
日全食是因为太阳被哪个天体遮住而产生的天文现象	月球
被洪秀全封为“北王”的是	韦昌辉
《牡丹亭》又名什么	还魂记
朱自清的散文《荷塘月色》中提到的“梵婀玲”值得是哪种西洋乐器	小提琴
菱形有几条边	四条
明朝皇帝姓什么	朱
宋代文豪中的“三苏”是指苏洵，苏轼和谁	苏辙
“华尔街”在哪个城市	纽约
《题临安邸》中，“直把杭州作汴州”中的汴州指中国现在河南的哪座城市	开封
成语“明修栈道”下一句是什么	暗度陈仓
诗人戴望舒的《雨巷》中，用什么花比喻那个他想遇到的姑娘	丁香花
“宝带桥”是谁建造的	王仲舒
胆汁是由人体的什么内脏器官分泌出来的	肝脏
MPEG是什么的缩写	Moving Picture Experts Group
经常被用来祈福的“天灯”传说是由古时候哪位人物发明的	张士诚
《山居笔记》是我国哪位现代作家的散文集	余秋雨
周杰伦的哪首歌曲与王羲之的一篇书法作品同名	兰亭序
2004年夏季奥运会是在哪个城市举办的	雅典
哪天被定为母亲节	五月的第二个星期日
新加坡的宪法明定什么语为新加坡的国语	马来语
在十天干中排列在“甲乙丙丁”之后的两个是什么	戊己
“五岳归来不看山，黄山归来不看岳”是哪个明代的大旅行家对黄山的赞叹	徐霞客
第一次工业革命开始的标志是瓦特改良了什么机械	蒸汽机
赤道几内亚的首都是哪座城市	马拉博
中途岛在哪个大洋	太平洋
白果是哪种植物的果实	银杏
世界第一高峰是我国的什么山峰	珠穆朗玛峰
著名的啤酒品牌喜力创始于哪个欧洲国家	荷兰
光年是什么单位	长度
电影《肖申克的救赎》原著作者是谁	史蒂芬·金
干冰的成分是什么	二氧化碳
西周时期确定的“五音”音阶指的是宫，商，角，徵和什么	羽
大陆于2008年赠送给台湾的两只大熊猫一只叫团团，另一只叫什么	圆圆
2012年法网女子单打冠军是谁	莎拉波娃
被称为蛙泳皇后，并获得04年奥运会女子百米比赛金牌的人是	罗雪娟
出自毛泽东《长征》“金沙水拍云崖暧”的下一句是	大渡桥横铁索寒
我们通常所说“煤气中毒”是由于煤气中哪种气体吸入过量造成的	一氧化碳
北宋“三苏”中，苏洵与苏轼的亲戚关系是什么	苏辙
在《魔戒》系列电影中，佩戴着戒指一路披荆斩棘的矮小名族被称为什么人	哈比人
在《三国演义》中，桃园三结义前，刘备是以卖什么为生的	草鞋
毛泽东诞生于哪年，于哪年去世	1893年-1976年
英国首相官邸和中央政府机关位于哪条著名的街道	唐宁街
“白日依山尽，黄河入海流”是诗人王之涣在什么楼上看到的景色	鹳雀楼
足球明星贝克汉姆的老婆维多利亚曾经是哪个著名女子组合成员	辣妹
过中秋节时，中国人会吃哪种食物来代表团圆	月饼
在成龙指导的电影《十二生肖》中，十二生肖兽首原本是摆放在北京哪个著名景点中	圆明园
1858年，与清政府签订《天津条约》的国家是英法俄和那个国家	美国
